Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,50.000000,50.200001,49.520000,49.560001,32.366756,71730
2018-06-04,49.919998,50.750000,49.919998,50.500000,32.980652,93055
2018-06-05,48.220001,49.080002,48.000000,49.000000,33.667747,163632
2018-06-06,48.959999,49.439999,48.919998,49.180000,33.791424,87073
2018-06-07,49.259998,49.759998,48.880001,48.880001,33.585297,100412
2018-06-08,48.840000,49.160000,48.480000,49.160000,33.777687,68458
2018-06-11,49.160000,49.380001,48.759998,48.759998,33.502842,84169
2018-06-12,48.919998,48.919998,48.520000,48.680000,33.447876,114763
2018-06-13,48.700001,49.360001,48.459999,48.680000,33.447876,94134
2018-06-14,48.700001,48.700001,47.860001,48.099998,33.049358,101731
2018-06-15,48.160000,48.759998,47.959999,48.660000,33.434135,135693
2018-06-18,48.700001,48.840000,48.380001,48.740002,33.489105,103888
2018-06-19,48.779999,53.400002,48.759998,52.750000,36.244362,372947
2018-06-20,53.049999,54.900002,52.450001,54.250000,37.275002,335436
2018-06-21,54.549999,56.000000,54.200001,55.900002,38.408714,264466
2018-06-22,55.799999,56.599998,55.750000,56.049999,38.511780,112753
2018-06-25,56.000000,56.000000,54.299999,54.400002,37.378071,111233
2018-06-26,54.900002,55.299999,54.200001,54.750000,37.618553,89021
2018-06-27,55.049999,55.049999,53.450001,54.049999,37.137589,105376
2018-06-28,54.099998,54.349998,53.000000,53.400002,36.690975,115002
2018-06-29,53.400002,54.200001,53.400002,54.099998,37.171940,130160
2018-07-02,54.049999,54.250000,53.200001,53.250000,36.587910,89329
2018-07-03,53.450001,53.900002,53.200001,53.500000,36.759689,115711
2018-07-04,53.700001,53.849998,53.200001,53.500000,36.759689,50657
2018-07-05,53.500000,53.950001,53.049999,53.750000,36.931461,60787
2018-07-06,53.750000,53.849998,52.750000,52.799999,36.278717,87713
2018-07-09,52.799999,53.900002,52.799999,53.650002,36.862751,59094
2018-07-10,53.549999,53.700001,52.799999,53.549999,36.794037,105732
2018-07-11,53.400002,54.099998,53.099998,53.950001,37.068882,81640
2018-07-12,54.000000,55.049999,53.500000,54.700001,37.584202,109870
2018-07-13,54.599998,55.599998,54.349998,55.250000,37.962105,138252
2018-07-16,55.349998,56.000000,55.299999,55.849998,38.374359,111834
2018-07-17,56.000000,56.000000,55.200001,55.450001,38.099525,77623
2018-07-18,55.500000,55.799999,55.049999,55.200001,37.927750,41761
2018-07-19,55.000000,55.150002,54.599998,54.950001,37.755974,55906
2018-07-20,54.900002,55.200001,54.299999,54.349998,37.343716,49263
2018-07-23,54.299999,54.299999,53.900002,54.099998,37.171940,53991
2018-07-24,54.099998,54.700001,54.099998,54.599998,37.515491,72877
2018-07-25,54.700001,55.349998,54.650002,54.750000,37.618553,58771
2018-07-26,55.299999,55.700001,53.400002,53.400002,36.690975,104355
2018-07-27,53.400002,53.549999,52.900002,53.000000,36.416134,57141
2018-07-30,53.000000,53.150002,52.299999,52.799999,36.278717,99915
2018-07-31,52.849998,54.000000,52.599998,52.700001,36.210007,101838
2018-08-01,52.700001,52.750000,51.650002,51.950001,35.694683,89334
2018-08-02,52.000000,52.450001,51.299999,52.349998,35.969521,113143
2018-08-03,52.400002,52.750000,52.099998,52.250000,35.900814,95982
2018-08-06,52.250000,52.349998,51.000000,51.400002,35.316784,128884
2018-08-07,51.400002,51.950001,51.349998,51.650002,35.488556,116296
2018-08-08,51.599998,52.349998,51.400002,52.049999,35.763393,76790
2018-08-09,52.049999,52.150002,51.549999,51.900002,35.660328,94693
2018-08-10,51.900002,51.950001,51.700001,51.849998,35.625977,51185
2018-08-13,51.700001,51.799999,51.349998,51.599998,35.454201,67846
2018-08-14,51.650002,51.900002,51.400002,51.650002,35.488556,63259
2018-08-15,51.650002,52.000000,51.349998,51.650002,35.488556,82589
2018-08-16,51.650002,51.900002,51.299999,51.849998,35.625977,70253
2018-08-17,51.900002,52.599998,51.700001,52.349998,35.969521,70121
2018-08-20,52.349998,52.549999,51.650002,51.900002,35.660328,52512
2018-08-21,52.000000,52.250000,51.700001,51.950001,35.694683,55602
2018-08-22,52.000000,52.400002,51.599998,51.599998,35.454201,47016
2018-08-23,51.599998,52.799999,51.500000,52.549999,36.106941,57619
2018-08-24,52.599998,53.099998,52.299999,52.549999,36.106941,54767
2018-08-27,52.599998,53.099998,52.500000,53.049999,36.450489,33411
2018-08-28,53.000000,53.549999,52.750000,53.400002,36.690975,71501
2018-08-29,53.349998,53.400002,52.599998,53.099998,36.484844,106754
2018-08-30,53.099998,53.150002,52.250000,52.450001,36.038235,71448
2018-08-31,52.500000,52.500000,51.900002,52.200001,35.866459,11989
2018-09-03,52.500000,52.549999,51.700001,51.799999,35.591618,41453
2018-09-04,51.799999,51.849998,50.799999,50.799999,34.904518,75460
2018-09-05,50.750000,50.750000,49.939999,49.939999,34.313622,60312
2018-09-06,50.000000,50.099998,49.400002,49.580002,34.066265,69502
2018-09-07,49.540001,49.660000,48.720001,49.540001,34.038780,90557
2018-09-10,49.639999,49.680000,49.279999,49.580002,34.066265,64352
2018-09-11,49.599998,49.820000,49.500000,49.680000,34.134975,76646
2018-09-12,49.740002,50.500000,49.660000,50.500000,34.698395,71358
2018-09-13,50.450001,50.500000,50.000000,50.000000,34.354843,54253
2018-09-14,50.049999,50.450001,50.000000,50.299999,34.560974,55128
2018-09-17,50.299999,50.750000,49.959999,49.959999,34.327358,58795
2018-09-18,50.049999,52.599998,50.049999,50.950001,35.007587,144095
2018-09-19,50.900002,51.200001,50.500000,50.700001,34.835815,83192
2018-09-20,50.549999,51.049999,50.049999,50.549999,34.732746,94175
2018-09-21,50.549999,51.200001,50.400002,50.650002,34.801456,128387
2018-09-24,50.250000,50.650002,48.720001,49.740002,34.176205,166374
2018-09-25,49.680000,49.720001,47.740002,48.020000,32.994392,212657
2018-09-26,48.060001,48.599998,47.959999,48.060001,33.021877,129473
2018-09-27,48.040001,48.259998,47.540001,47.599998,32.705811,135256
2018-09-28,47.580002,47.980000,47.040001,47.580002,32.692070,156514
2018-10-01,48.400002,48.680000,47.660000,47.799999,32.843231,135756
2018-10-02,47.720001,47.840000,46.680000,47.160000,32.403488,120845
2018-10-03,47.160000,47.639999,46.840000,47.139999,32.389744,91370
2018-10-04,47.180000,47.439999,46.720001,47.180000,32.417233,143504
2018-10-05,47.259998,47.259998,45.720001,45.980000,31.592718,142626
2018-10-08,45.720001,46.320000,45.560001,46.080002,31.661428,94499
2018-10-09,46.000000,46.580002,45.959999,46.459999,31.922522,91501
2018-10-10,46.400002,46.419998,44.360001,44.560001,30.617043,133734
2018-10-11,44.040001,44.259998,42.000000,43.139999,29.641361,214920
2018-10-12,43.439999,43.720001,42.740002,43.080002,29.600134,148014
2018-10-15,42.919998,43.160000,42.380001,42.939999,29.503941,86685
2018-10-16,42.700001,44.540001,42.700001,44.500000,30.575815,131522
2018-10-17,44.720001,44.720001,43.119999,43.759998,30.067356,190595
2018-10-18,43.779999,44.560001,43.540001,44.080002,30.287233,78413
2018-10-19,43.980000,44.259998,43.200001,44.000000,30.232264,105680
2018-10-22,44.020000,44.299999,42.799999,43.320000,29.765036,138323
2018-10-23,42.820000,42.820000,42.080002,42.700001,29.339037,124958
2018-10-24,42.580002,42.939999,42.099998,42.119999,28.940523,107357
2018-10-25,42.020000,43.020000,41.639999,42.320000,29.077940,118952
2018-10-26,42.500000,42.500000,41.599998,42.220001,29.009232,87569
2018-10-29,41.700001,42.720001,41.700001,42.099998,28.926779,89520
2018-10-30,42.360001,42.580002,41.900002,42.119999,28.940523,94756
2018-10-31,42.900002,43.520000,42.200001,42.320000,29.077940,126257
2018-11-01,42.299999,42.380001,40.439999,40.740002,27.992329,244613
2018-11-02,41.000000,41.540001,40.820000,41.500000,28.514521,190261
2018-11-05,41.599998,42.279999,41.520000,41.639999,28.610718,75811
2018-11-06,41.759998,42.099998,41.459999,41.860001,28.761877,66300
2018-11-07,41.900002,43.759998,41.900002,43.759998,30.067356,127788
2018-11-08,43.799999,44.220001,43.299999,43.380001,29.806263,90026
2018-11-09,43.419998,43.500000,43.000000,43.360001,29.792524,59923
2018-11-12,43.480000,43.480000,42.840000,43.080002,29.600134,71911
2018-11-13,43.119999,43.599998,43.000000,43.380001,29.806263,70107
2018-11-14,43.320000,43.720001,43.040001,43.160000,29.655106,101095
2018-11-15,43.119999,43.340000,42.660000,43.020000,29.558908,87441
2018-11-16,43.320000,43.520000,42.840000,43.099998,29.613876,73915
2018-11-19,43.200001,43.560001,42.500000,42.500000,29.201620,90865
2018-11-20,42.400002,42.480000,40.860001,40.919998,28.116001,109854
2018-11-21,41.040001,41.680000,41.040001,41.380001,28.432070,49746
2018-11-22,41.419998,41.720001,41.000000,41.540001,28.542006,94767
2018-11-23,41.540001,42.939999,41.540001,42.720001,29.352781,85734
2018-11-26,42.779999,44.259998,42.779999,43.860001,30.136072,121060
2018-11-27,43.700001,44.980000,43.259998,43.820000,30.108587,109787
2018-11-28,43.840000,44.240002,43.200001,43.439999,29.847486,56330
2018-11-29,43.459999,44.020000,43.380001,43.459999,29.861233,101001
2018-11-30,43.340000,44.400002,43.040001,43.299999,29.751293,144780
2018-12-03,43.700001,44.860001,42.820000,42.820000,29.421490,159434
2018-12-04,42.799999,43.020000,42.400002,42.400002,29.132912,96836
2018-12-05,42.020000,42.540001,41.740002,41.820000,28.734392,71428
2018-12-06,41.500000,41.599998,40.619999,41.139999,28.267168,157909
2018-12-07,41.160000,42.720001,41.160000,42.099998,28.926779,74221
2018-12-10,42.099998,42.459999,41.779999,41.820000,28.734392,101892
2018-12-11,41.860001,42.520000,41.500000,41.619999,28.596970,199000
